CustomerID,TotalSpend,InvoiceCount,FirstPurchase,LastPurchase,TotalQuantity,Recency,Frequency,AvgOrderValue,Recency_norm,Frequency_norm,TotalSpend_norm,RFM_Score,CLV,Anomaly,Cluster
12346.0,77183.6,1,2011-01-18 10:01:00,2011-01-18 10:01:00,74215,5348,1,77183.6,0.8713136729222519,0.0,0.2754433431249504,0.13410753376858436,23155.08,Anomaly,3
12347.0,4310.0,7,2010-12-07 14:57:00,2011-12-07 15:52:00,2458,5025,7,615.7142857142857,0.005361930294906614,0.02884615384615385,0.015368362290569594,0.41111958272305443,1293.0,Normal,0
12348.0,1797.24,4,2010-12-16 19:09:00,2011-09-25 13:13:00,2341,5098,4,449.31,0.20107238605898203,0.014423076923076924,0.006400697610336989,0.32581817793643136,539.172,Normal,2
12349.0,1757.55,1,2011-11-21 09:51:00,2011-11-21 09:51:00,631,5041,1,1757.55,0.04825737265415597,0.0,0.006259049935605446,0.38257476591901923,527.265,Normal,0
12350.0,334.4,1,2011-02-02 16:01:00,2011-02-02 16:01:00,197,5333,1,334.4,0.8310991957104559,0.0,0.0011800404043835902,0.06791433383713273,100.32,Normal,3
12352.0,2506.04,8,2011-02-16 12:33:00,2011-11-03 14:37:00,536,5059,8,313.255,0.09651474530831194,0.03365384615384616,0.008930298815923225,0.3741693453676061,751.812,Normal,0
12353.0,89.0,1,2011-05-19 17:47:00,2011-05-19 17:47:00,20,5227,1,89.0,0.5469168900804302,0.0,0.0003042445016594619,0.18132451731832575,26.7,Normal,1
12354.0,1079.4,1,2011-04-21 13:11:00,2011-04-21 13:11:00,530,5255,1,1079.4,0.6219839142091157,0.0,0.003838833996598243,0.1523580845153332,323.82,Normal,1
12355.0,459.4,1,2011-05-09 13:49:00,2011-05-09 13:49:00,240,5237,1,459.4,0.5737265415549597,0.0,0.0016261467118021563,0.1709972273915568,137.82,Normal,1
12356.0,2811.43,3,2011-01-18 09:50:00,2011-11-17 08:40:00,1591,5045,3,937.1433333333333,0.058981233243967424,0.009615384615384616,0.010020190057703672,0.38229817910433955,843.429,Normal,0
12357.0,6207.67,1,2011-11-06 16:07:00,2011-11-06 16:07:00,2708,5056,1,6207.67,0.08847184986595202,0.0,0.022140862741761514,0.37125351887614766,1862.301,Anomaly,0
12358.0,1168.06,2,2011-07-12 10:04:00,2011-12-08 10:26:00,248,5024,2,584.03,0.002680965147453307,0.004807692307692308,0.004155248278324083,0.40161649611682365,350.41799999999995,Normal,0
12359.0,6372.58,4,2011-01-12 12:43:00,2011-10-13 12:47:00,1622,5080,4,1593.145,0.15281501340482606,0.014423076923076924,0.02272940187101268,0.35001973827629645,1911.774,Normal,2
12360.0,2662.06,3,2011-05-23 09:43:00,2011-10-18 15:22:00,1165,5075,3,887.3533333333334,0.1394101876675613,0.009615384615384616,0.009487110864590783,0.3499666735769681,798.6179999999999,Normal,2
12361.0,189.9,1,2011-02-25 13:51:00,2011-02-25 13:51:00,91,5310,1,189.9,0.7694369973190351,0.0,0.0006643415130077282,0.09242450352628827,56.97,Normal,3
12362.0,5226.23,10,2011-02-17 10:30:00,2011-12-06 15:40:00,2229,5026,10,522.6229999999999,0.00804289544235992,0.04326923076923077,0.01863825014693849,0.41535508609790683,1567.869,Normal,0
12363.0,552.0,2,2011-04-11 13:29:00,2011-08-22 10:18:00,408,5132,2,276.0,0.2922252010723856,0.004807692307692308,0.0019566222643378297,0.2851392139426548,165.6,Normal,2
12364.0,1313.1,4,2011-08-19 15:24:00,2011-12-02 10:22:00,1506,5030,4,328.275,0.018766756032171372,0.014423076923076924,0.0046728743489479925,0.39822208296873896,393.92999999999995,Normal,0
12365.0,641.38,2,2011-02-21 13:51:00,2011-02-21 14:04:00,174,5314,2,320.69,0.7801608579088484,0.004807692307692308,0.002275606118394401,0.09006064636428666,192.414,Normal,3
12367.0,168.9,1,2011-12-05 16:48:00,2011-12-05 16:48:00,173,5027,1,168.9,0.010723860589813228,0.0,0.0005893956533614092,0.39588727446008315,50.67,Normal,0
12370.0,3545.69,4,2010-12-14 12:58:00,2011-10-19 14:51:00,2353,5074,4,886.4225,0.136729222520108,0.014423076923076924,0.012640654195984922,0.3534274303276753,1063.7069999999999,Normal,0
12371.0,1887.96,2,2011-10-11 10:43:00,2011-10-26 10:16:00,591,5067,2,943.98,0.11796246648793662,0.004807692307692308,0.006724463724009087,0.35627466021433574,566.388,Normal,0
12372.0,1298.04,3,2011-02-16 12:46:00,2011-09-29 12:12:00,794,5094,3,432.68,0.1903485254691688,0.009615384615384616,0.004619127461030204,0.32813094343525695,389.412,Normal,2
12373.0,364.6,1,2011-02-01 13:10:00,2011-02-01 13:10:00,197,5334,1,364.6,0.8337801608579092,0.0,0.001287819688255916,0.06687428156331311,109.38000000000001,Normal,3
12374.0,742.9300000000001,1,2011-11-14 15:37:00,2011-11-14 15:37:00,342,5048,1,742.9300000000001,0.06702412868632734,0.0,0.0026380228825412444,0.37398175539023143,222.87900000000002,Normal,0
12375.0,457.5,2,2011-09-02 14:23:00,2011-11-29 10:36:00,178,5033,2,228.75,0.026809651474531293,0.004807692307692308,0.001619365895929394,0.391204256871274,137.25,Normal,0
12377.0,1628.12,2,2010-12-20 09:37:00,2011-01-28 15:45:00,944,5338,2,814.06,0.8445040214477224,0.004807692307692308,0.005797133620651966,0.06537983919941433,488.4359999999999,Normal,3
12378.0,4008.62,1,2011-08-02 10:34:00,2011-08-02 10:34:00,2529,5152,1,4008.62,0.3458445040214482,0.0,0.014292782139131134,0.26595003303316006,1202.586,Normal,2
12379.0,852.24,2,2011-06-22 16:32:00,2011-09-19 10:09:00,407,5104,2,426.12,0.2171581769437001,0.004807692307692308,0.0030281339262526316,0.31548747709270347,255.672,Normal,2
12380.0,2724.81,4,2011-06-07 09:49:00,2011-11-18 11:27:00,1127,5044,4,681.2025,0.05630026809651589,0.014423076923076924,0.009711056230914903,0.3847201327075912,817.443,Normal,0
12381.0,1845.31,5,2011-08-12 09:57:00,2011-12-05 12:44:00,808,5027,5,369.062,0.010723860589813228,0.019230769230769232,0.006572252251917873,0.40345136220888084,553.593,Normal,0
12383.0,1850.56,5,2010-12-22 14:28:00,2011-06-08 08:02:00,1532,5207,5,370.11199999999997,0.4932975871313676,0.019230769230769232,0.0065909887168294524,0.21042749253173257,555.168,Normal,1
12384.0,585.27,2,2011-08-10 11:23:00,2011-11-11 08:39:00,126,5051,2,292.635,0.07506702412868727,0.004807692307692308,0.0020753579191203552,0.3720381054165689,175.581,Normal,0
12386.0,401.9,2,2010-12-08 09:53:00,2011-01-06 12:37:00,354,5360,2,200.95,0.9034852546916898,0.004807692307692308,0.0014209378103896158,0.04047448715874865,120.57,Normal,3
12388.0,2780.66,6,2011-01-17 11:12:00,2011-11-24 12:30:00,1462,5038,6,463.4433333333333,0.04021447721179605,0.02403846153846154,0.009910376529069518,0.39409886053554094,834.198,Normal,0
12390.0,549.84,1,2011-09-21 09:33:00,2011-09-21 09:33:00,353,5102,1,549.84,0.21179624664879348,0.0,0.0019489135473456372,0.3158661754046863,164.952,Normal,2
12391.0,460.89,1,2011-11-18 12:07:00,2011-11-18 12:07:00,300,5044,1,460.89,0.05630026809651589,0.0,0.0016314642989865855,0.3779693320510896,138.267,Normal,0
12393.0,1582.6000000000001,4,2011-01-11 09:47:00,2011-09-28 15:41:00,816,5095,4,395.65000000000003,0.1930294906166221,0.014423076923076924,0.005634679547742422,0.32880553069459695,474.78000000000003,Normal,2
12394.0,1272.48,2,2011-05-06 14:01:00,2011-10-07 08:08:00,819,5086,2,636.24,0.16890080428954413,0.004807692307692308,0.004527907643289256,0.33524035826947685,381.74399999999997,Normal,2
12395.0,3018.63,12,2010-12-03 16:35:00,2011-11-20 15:21:00,2118,5042,12,251.5525,0.05093833780160928,0.05288461538461539,0.010759655872880688,0.3987179462566051,905.589,Normal,0
12397.0,2409.9,2,2011-07-27 14:21:00,2011-11-04 09:52:00,1263,5058,2,1204.95,0.09383378016085864,0.004807692307692308,0.008587189532761458,0.36648495248779267,722.97,Normal,0
12398.0,1635.6599999999999,1,2011-10-25 10:27:00,2011-10-25 10:27:00,1394,5068,1,1635.6599999999999,0.12064343163538993,0.0,0.0058240427531154534,0.3534898401717787,490.6979999999999,Normal,0
12399.0,1108.65,4,2011-03-23 09:42:00,2011-08-12 13:15:00,1178,5142,4,277.1625,0.3190348525469169,0.014423076923076924,0.003943222872534187,0.2778959489199166,332.595,Normal,2
12401.0,84.3,1,2011-02-09 13:50:00,2011-02-09 13:50:00,11,5326,1,84.3,0.8123324396782845,0.0,0.00028747090450052386,0.07515326540003636,25.29,Normal,3
12402.0,225.6,1,2011-01-20 13:49:00,2011-01-20 13:49:00,94,5346,1,225.6,0.8659517426273471,0.0,0.0007917494744064707,0.053856827791383115,67.67999999999999,Normal,3
12403.0,427.7,1,2011-10-21 10:51:00,2011-10-21 10:51:00,96,5072,1,427.7,0.13136729222520138,0.0,0.0015130141522408079,0.3479069873555917,128.31,Normal,0
12405.0,1710.39,1,2011-07-14 08:52:00,2011-07-14 08:52:00,857,5171,1,1710.39,0.39678284182305745,0.0,0.00609074294794257,0.2431140861551598,513.117,Normal,1
12406.0,3415.3,2,2011-06-09 10:23:00,2011-11-17 19:22:00,1818,5045,2,1707.65,0.058981233243967424,0.004807692307692308,0.012175311784590467,0.3815024079300979,1024.59,Normal,0
12407.0,1708.1200000000001,5,2011-03-20 13:21:00,2011-10-21 10:11:00,1416,5072,5,341.624,0.13136729222520138,0.019230769230769232,0.006082641657399849,0.35504710637637016,512.436,Normal,0
12408.0,2888.55,5,2011-03-24 14:46:00,2011-11-07 12:27:00,1409,5055,5,577.71,0.08579088471849872,0.019230769230769232,0.01029541980512863,0.37454150282336984,866.5650000000002,Normal,0
12409.0,11072.67,3,2011-06-10 12:19:00,2011-09-22 10:38:00,5551,5101,3,3690.89,0.20911528150134018,0.009615384615384616,0.03950332022649209,0.331089498852027,3321.801,Anomaly,2
12410.0,693.3299999999999,2,2011-02-04 10:38:00,2011-02-04 10:39:00,211,5331,2,346.66499999999996,0.8257372654155493,0.004807692307692308,0.002461007899757557,0.07188570389601526,207.99899999999997,Normal,3
12412.0,1226.88,3,2011-06-23 13:51:00,2011-09-26 10:16:00,829,5097,3,408.96000000000004,0.19839142091152873,0.009615384615384616,0.004365168062342963,0.3248375974387068,368.064,Normal,2
12413.0,758.1,3,2011-01-06 16:12:00,2011-10-04 09:00:00,286,5089,3,252.70000000000002,0.17694369973190405,0.009615384615384616,0.0026921623440095614,0.33291478419505666,227.42999999999998,Normal,2
12414.0,562.41,3,2011-02-02 14:51:00,2011-05-06 14:51:00,300,5240,3,187.47,0.5817694369973196,0.009615384615384616,0.001993773997619648,0.17077497278497342,168.72299999999998,Normal,1
12415.0,124914.53,21,2011-01-06 11:12:00,2011-11-15 14:22:00,77374,5047,21,5948.310952380953,0.06434316353887404,0.09615384615384616,0.44578789458058277,0.5368452568047791,37474.359,Anomaly,0
12417.0,3649.1,9,2010-12-17 11:51:00,2011-12-06 14:52:00,1552,5026,9,405.4555555555555,0.00804289544235992,0.038461538461538464,0.013009709021986152,0.41222421606811344,1094.73,Normal,0
12418.0,668.58,1,2011-08-19 11:08:00,2011-08-19 11:08:00,407,5135,1,668.58,0.3002680965147455,0.0,0.002372678850888681,0.2806045650493684,200.574,Normal,2
12420.0,600.39,1,2011-10-07 08:55:00,2011-10-07 08:55:00,345,5086,1,600.39,0.16890080428954413,0.0,0.002129318938065705,0.3330784739656021,180.117,Normal,2
12421.0,807.04,4,2011-01-24 15:09:00,2011-11-24 09:07:00,484,5038,4,201.76,0.04021447721179605,0.014423076923076924,0.002866821885490078,0.3891011787578517,242.11199999999997,Normal,0
12422.0,803.5600000000001,3,2011-01-19 09:13:00,2011-09-05 09:48:00,370,5118,3,267.85333333333335,0.25469168900804284,0.009615384615384616,0.0028544022858915455,0.3018642604671657,241.068,Normal,2
12423.0,1859.31,8,2010-12-21 10:54:00,2011-12-09 10:10:00,1339,5023,8,232.41375,0.0,0.03365384615384616,0.006622216158348752,0.41208281869365854,557.793,Normal,0
12424.0,1760.96,2,2011-06-30 12:06:00,2011-06-30 12:06:00,740,5185,2,880.48,0.4343163538874002,0.004807692307692308,0.0062712197156718245,0.22959713205204918,528.288,Normal,1
12425.0,777.2,1,2011-09-22 17:31:00,2011-09-22 17:31:00,496,5101,1,777.2,0.20911528150134018,0.0,0.002760327387783118,0.3171819856157989,233.16,Normal,2
12426.0,582.73,1,2011-05-29 12:26:00,2011-05-29 12:26:00,258,5217,1,582.73,0.5201072386058989,0.0,0.00206629303895361,0.19257699246932652,174.819,Normal,1
12427.0,825.8,3,2010-12-03 10:44:00,2011-11-18 08:56:00,533,5044,3,275.26666666666665,0.05630026809651589,0.009615384615384616,0.0029337735201074564,0.38124464020204124,247.73999999999998,Normal,0
12428.0,7956.46,9,2011-03-01 09:33:00,2011-11-14 08:22:00,3536,5048,9,884.0511111111111,0.06702412868632734,0.038461538461538464,0.028382032736565622,0.3932434198849003,2386.938,Normal,0
12429.0,3750.4,4,2010-12-09 12:05:00,2011-11-30 17:22:00,1557,5032,4,937.6,0.024128686327077986,0.014423076923076924,0.013371233573518158,0.3986868186181473,1125.12,Normal,0
12430.0,256.4,1,2011-10-27 15:09:00,2011-10-27 15:09:00,117,5066,1,256.4,0.11528150134048332,0.0,0.0009016700685544052,0.354157900484373,76.91999999999999,Normal,0
12431.0,6487.45,15,2010-12-01 10:03:00,2011-11-04 11:55:00,2906,5058,15,432.49666666666667,0.09383378016085864,0.06730769230769232,0.023139355723278042,0.38960060234494764,1946.235,Anomaly,0
